OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
223540690,181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,YES,NO,,,NO,0,15,390641.70793238,134692.00542591,,
223540691,182,Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,YES,NO,,,NO,0,10,391230.0410303,135202.41180552,,
223540692,183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,YES,NO,,,NO,18,0,400511.75228339,137470.34907981,,DC
223540693,185,20th & L St NW,31250,38.903584,-77.044789,YES,NO,,,NO,4,15,396115.02439795,137304.10738551,,DC
223540694,186,12th & L St NW,31251,38.903819,-77.0284,YES,NO,,,NO,0,18,397536.60617,137329.6244241,,DC
223540695,187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,YES,NO,,,NO,1,18,395960.94600021,137077.17295375,,DC
223540696,188,19th & K St NW,31253,38.902204,-77.04337,YES,NO,,,NO,1,22,396238.03496422,137150.85682925,,DC
223540697,189,Prince St & Union St,31041,38.803124,-77.040363,YES,NO,,,NO,13,4,396494.00267968,126152.15218226,,
223540698,190,Market Square / King St & Royal St,31042,38.804718,-77.043363,YES,NO,,,NO,0,13,396233.50175862,126329.21564255,,
223540699,191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,YES,NO,,,NO,8,7,396120.82449056,126998.08315733,,
223540700,192,King St & Patrick St,31044,38.805317,-77.049883,YES,NO,,,NO,8,7,395667.21274018,126395.99762896,,
223540701,193,15th & K St NW,31254,38.902,-77.03353,YES,NO,,,NO,2,25,397091.55982715,137127.85168549,,DC
223540702,194,Commerce St & Fayette St,31045,38.805648,-77.05293,YES,NO,,,NO,9,6,395402.57471448,126432.8897394,,
223540703,195,Henry St & Pendleton St,31046,38.811456,-77.050276,YES,NO,,,NO,5,10,395633.45246838,127077.48415181,,
223540704,196,Braddock Rd Metro,31047,38.814577,-77.052808,YES,NO,,,NO,5,20,395413.7448307,127424.05927501,,
223540705,197,King St Metro South,31048,38.805767,-77.06072,YES,NO,,,NO,8,14,394725.95516096,126446.52067087,,
223540706,198,24th & N St NW,31255,38.9066,-77.05152,YES,NO,,,NO,6,9,395531.3698104,137639.21579131,,DC
223540707,199,10th & E St NW,31256,38.895914,-77.026064,YES,NO,,,NO,0,14,397738.97843831,136452.04567026,,DC
223540708,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,YES,NO,,,NO,0,15,395757.32337487,137004.12512577,,DC
223540709,201,Utah St & 11th St N,31049,38.883669,-77.113905,YES,NO,,,NO,1,9,390117.18065021,135098.59783356,,
223540710,202,Barton St & 10th St N,31050,38.884961,-77.08777,YES,NO,,,NO,4,7,392384.88706428,135239.51496366,,
223540711,203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,YES,NO,,,NO,11,0,393294.22093326,135727.57124359,,
223540712,204,Lincoln Memorial,31258,38.888251,-77.049426,YES,NO,,,NO,0,23,395711.89180633,135602.23051407,,DC
223540713,206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,YES,NO,,,NO,1,14,396085.13339566,136320.36909798,,DC
223540714,207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,YES,NO,,,NO,0,19,398379.90597158,137008.70467648,,DC
223540715,208,39th & Veazey St NW,31308,38.943837,-77.077078,YES,NO,,,NO,0,14,393318.06595366,141774.40034915,,DC
223540716,209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,YES,NO,,,NO,4,11,392855.54507199,142993.1290753,,DC
223540717,210,3rd & M St NE,31627,38.90547,-77.00213,YES,NO,,,NO,20,2,399815.24973606,137512.51778395,,DC
223540718,211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,YES,NO,,,NO,1,13,393029.28804682,132893.55385171,,
223540719,212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,YES,NO,,,NO,6,5,392471.99507726,132224.68968124,,
223540720,213,28th St S & S Meade St,31055,38.846222,-77.069275,YES,NO,,,NO,13,1,393986.28914822,130937.82204983,,
223540721,214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,YES,NO,,,NO,14,7,396394.92173743,138994.07565048,,DC
223540722,215,5th & Kennedy St NW,31403,38.956556,-77.019814,YES,NO,,,NO,2,13,398282.61975004,143183.69002703,,DC
223540723,216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,YES,NO,,,NO,12,6,397630.68061866,142418.56148209,,DC
223540724,217,14th & Upshur St NW,31406,38.942016,-77.032652,YES,NO,,,NO,19,0,397169.30765214,141569.93848837,,DC
223540725,218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,YES,NO,,,NO,10,9,397144.31085359,143170.25383441,,DC
223540726,219,S Troy St & 26th St S,31056,38.847977,-77.075104,YES,NO,,,NO,6,5,393480.43841302,131133.03943473,,
223540727,220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,YES,NO,,,NO,10,1,392540.20426708,130736.796557,,
223540728,221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,YES,NO,,,NO,7,4,391680.16396318,132556.94935025,,
223540729,222,S Four Mile Run & Walter Reed Dr,31059,38.84736,-77.095431,YES,NO,,,NO,9,1,391715.83915544,131066.19628707,,
223540730,223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,YES,NO,,,NO,2,13,392225.37311813,130506.2046103,,
223540731,224,S Kenmore & 24th St S,31061,38.848454,-77.084918,YES,NO,,,NO,6,5,392628.5628703,131186.73644678,,
223540732,225,13th St & Eastern Ave,32006,38.987,-77.029417,YES,NO,,,NO,7,8,397451.3679179,146563.48846577,,
223540733,226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,YES,NO,,,NO,1,18,394484.96152307,137849.68097811,,DC
223540734,227,Roosevelt Island,31062,38.896553,-77.06714,YES,NO,,,NO,5,8,394175.73602395,136524.79875716,,
223540735,228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,YES,NO,,,NO,6,17,393936.42688566,143014.87282821,,DC
223540736,229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,YES,NO,,,NO,1,16,396672.97197532,137809.82841168,,DC
223540737,230,15th & Euclid St  NW,31117,38.92333,-77.0352,YES,NO,,,NO,0,15,396947.614649,139495.71246314,,DC
223540738,231,8th & East Capitol St NE,31629,38.889988,-76.995193,YES,NO,,,NO,8,3,400417.03628136,135793.90119809,,DC
223540739,232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,YES,NO,,,NO,10,4,398467.59465205,138310.70186081,,DC
